Species,Block,Trap,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,Year,Month,Week,DayOfWeek,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,T900,T115,T002,T138,T003,T128,T225,T011,T903,T013,T008
2.0,22,T086,41.688324,-87.676709,8,4,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
6.0,17,T094,41.720848,-87.666014,9,2,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
6.0,22,T096,41.731922,-87.677512,8,1,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
2.0,22,T096,41.731922,-87.677512,8,1,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
9.0,22,T096,41.731922,-87.677512,8,1,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
6.0,65,T143,41.999129,-87.795585,8,2,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
2.0,65,T143,41.999129,-87.795585,8,9,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
2.0,15,T153,41.907645,-87.760886,8,3,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
2.0,89,T159,41.732984,-87.649642,8,1,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
2.0,91,T009,41.981964,-87.812827,8,2,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
2.0,36,T011,41.944869,-87.832763,8,1,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,1,0,0,0
2.0,72,T016,42.011601,-87.811506,8,1,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
2.0,38,T019,41.94983,-87.698457,9,1,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
2.0,49,T025,41.979243,-87.750938,9,1,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
2.0,58,T028,41.986921,-87.689778,9,2,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
6.0,50,T031,41.801498,-87.763416,9,1,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
2.0,14,T033,41.906638,-87.701431,9,3,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
2.0,10,T089,41.723195,-87.64997,5,1,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
6.0,11,T090,41.868077,-87.666901,9,1,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
2.0,11,T090,41.868077,-87.666901,9,7,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
6.0,11,T092,41.869216,-87.627561,8,1,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
6.0,42,T135,41.662014,-87.724608,8,2,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
2.0,42,T135,41.662014,-87.724608,8,4,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
9.0,42,T135,41.662014,-87.724608,8,1,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
6.0,53,T141,41.961743,-87.76007,9,1,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
2.0,53,T141,41.961743,-87.76007,9,2,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
6.0,40,T142,41.953067,-87.776792,8,1,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
2.0,40,T142,41.953067,-87.776792,8,3,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
2.0,43,T145,41.878114,-87.629798,3,3,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
6.0,42,T146,41.958271,-87.702575,9,1,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
2.0,42,T146,41.958271,-87.702575,9,2,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
2.0,28,T147,41.932094,-87.700117,8,1,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
6.0,15,T149,41.994469,-87.667736,8,1,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
2.0,18,T150,42.006858,-87.675919,9,2,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
6.0,70,T151,41.916265,-87.800515,8,1,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
2.0,70,T151,41.916265,-87.800515,8,10,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
2.0,25,T152,41.846075,-87.716277,9,1,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
2.0,21,T154,41.918705,-87.752329,8,1,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
6.0,35,T158,41.682587,-87.707973,9,3,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
2.0,35,T158,41.682587,-87.707973,9,8,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
6.0,93,T162,41.725517,-87.614258,8,1,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
6.0,37,T218,41.948167,-87.730698,8,2,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
2.0,37,T218,41.948167,-87.730698,8,1,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
2.0,45,T220,41.963976,-87.69181,9,1,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
6.0,41,T002,41.95469,-87.800991,9,1,0,2007,6,26,1,91.5,71.5,81.5,10.5,69.0,72.0,0.0,16.5,0.085,29.42,30.1,6.699999999999999,21.5,7.6,0,0,1,0,0,0,0,0,0,0,0
2.0,41,T002,41.95469,-87.800991,9,4,0,2007,6,26,1,91.5,71.5,81.5,10.5,69.0,72.0,0.0,16.5,0.085,29.42,30.1,6.699999999999999,21.5,7.6,0,0,1,0,0,0,0,0,0,0,0
0.0,41,T002,41.95469,-87.800991,9,1,0,2007,6,26,1,91.5,71.5,81.5,10.5,69.0,72.0,0.0,16.5,0.085,29.42,30.1,6.699999999999999,21.5,7.6,0,0,1,0,0,0,0,0,0,0,0
6.0,62,T007,41.994991,-87.769279,9,1,0,2007,6,26,1,91.5,71.5,81.5,10.5,69.0,72.0,0.0,16.5,0.085,29.42,30.1,6.699999999999999,21.5,7.6,0,0,0,0,0,0,0,0,0,0,0
2.0,62,T007,41.994991,-87.769279,9,4,0,2007,6,26,1,91.5,71.5,81.5,10.5,69.0,72.0,0.0,16.5,0.085,29.42,30.1,6.699999999999999,21.5,7.6,0,0,0,0,0,0,0,0,0,0,0
2.0,79,T015,41.974089,-87.824812,8,1,0,2007,6,26,1,91.5,71.5,81.5,10.5,69.0,72.0,0.0,16.5,0.085,29.42,30.1,6.699999999999999,21.5,7.6,0,0,0,0,0,0,0,0,0,0,0
6.0,15,T045,41.9216,-87.666455,8,1,0,2007,6,26,1,91.5,71.5,81.5,10.5,69.0,72.0,0.0,16.5,0.085,29.42,30.1,6.699999999999999,21.5,7.6,0,0,0,0,0,0,0,0,0,0,0
2.0,15,T045,41.9216,-87.666455,8,1,0,2007,6,26,1,91.5,71.5,81.5,10.5,69.0,72.0,0.0,16.5,0.085,29.42,30.1,6.699999999999999,21.5,7.6,0,0,0,0,0,0,0,0,0,0,0
6.0,25,T046,41.891118,-87.654491,8,1,0,2007,6,26,1,91.5,71.5,81.5,10.5,69.0,72.0,0.0,16.5,0.085,29.42,30.1,6.699999999999999,21.5,7.6,0,0,0,0,0,0,0,0,0,0,0
2.0,25,T046,41.891118,-87.654491,8,6,0,2007,6,26,1,91.5,71.5,81.5,10.5,69.0,72.0,0.0,16.5,0.085,29.42,30.1,6.699999999999999,21.5,7.6,0,0,0,0,0,0,0,0,0,0,0
6.0,11,T048,41.867108,-87.654224,8,2,0,2007,6,26,1,91.5,71.5,81.5,10.5,69.0,72.0,0.0,16.5,0.085,29.42,30.1,6.699999999999999,21.5,7.6,0,0,0,0,0,0,0,0,0,0,0
2.0,11,T049,41.896282,-87.655232,8,1,0,2007,6,26,1,91.5,71.5,81.5,10.5,69.0,72.0,0.0,16.5,0.085,29.42,30.1,6.699999999999999,21.5,7.6,0,0,0,0,0,0,0,0,0,0,0
2.0,21,T050,41.919343,-87.694259,8,1,0,2007,6,26,1,91.5,71.5,81.5,10.5,69.0,72.0,0.0,16.5,0.085,29.42,30.1,6.699999999999999,21.5,7.6,0,0,0,0,0,0,0,0,0,0,0
6.0,22,T086,41.688324,-87.676709,8,1,0,2007,6,26,1,91.5,71.5,81.5,10.5,69.0,72.0,0.0,16.5,0.085,29.42,30.1,6.699999999999999,21.5,7.6,0,0,0,0,0,0,0,0,0,0,0
6.0,22,T086,41.688324,-87.676709,8,1,0,2007,6,26,1,91.5,71.5,81.5,10.5,69.0,72.0,0.0,16.5,0.085,29.42,30.1,6.699999999999999,21.5,7.6,0,0,0,0,0,0,0,0,0,0,0
2.0,22,T086,41.688324,-87.676709,8,2,0,2007,6,26,1,91.5,71.5,81.5,10.5,69.0,72.0,0.0,16.5,0.085,29.42,30.1,6.699999999999999,21.5,7.6,0,0,0,0,0,0,0,0,0,0,0
2.0,22,T096,41.731922,-87.677512,8,5,0,2007,6,26,1,91.5,71.5,81.5,10.5,69.0,72.0,0.0,16.5,0.085,29.42,30.1,6.699999999999999,21.5,7.6,0,0,0,0,0,0,0,0,0,0,0
6.0,53,T129,41.891126,-87.61156,5,1,0,2007,6,26,1,91.5,71.5,81.5,10.5,69.0,72.0,0.0,16.5,0.085,29.42,30.1,6.699999999999999,21.5,7.6,0,0,0,0,0,0,0,0,0,0,0
2.0,53,T129,41.891126,-87.61156,5,1,0,2007,6,26,1,91.5,71.5,81.5,10.5,69.0,72.0,0.0,16.5,0.085,29.42,30.1,6.699999999999999,21.5,7.6,0,0,0,0,0,0,0,0,0,0,0
6.0,65,T143,41.999129,-87.795585,8,1,0,2007,6,26,1,91.5,71.5,81.5,10.5,69.0,72.0,0.0,16.5,0.085,29.42,30.1,6.699999999999999,21.5,7.6,0,0,0,0,0,0,0,0,0,0,0
2.0,65,T143,41.999129,-87.795585,8,1,0,2007,6,26,1,91.5,71.5,81.5,10.5,69.0,72.0,0.0,16.5,0.085,29.42,30.1,6.699999999999999,21.5,7.6,0,0,0,0,0,0,0,0,0,0,0
6.0,75,T148,42.01743,-87.687769,8,2,0,2007,6,26,1,91.5,71.5,81.5,10.5,69.0,72.0,0.0,16.5,0.085,29.42,30.1,6.699999999999999,21.5,7.6,0,0,0,0,0,0,0,0,0,0,0
2.0,75,T148,42.01743,-87.687769,8,2,0,2007,6,26,1,91.5,71.5,81.5,10.5,69.0,72.0,0.0,16.5,0.085,29.42,30.1,6.699999999999999,21.5,7.6,0,0,0,0,0,0,0,0,0,0,0
6.0,36,T011,41.944869,-87.832763,8,2,0,2007,6,26,1,91.5,71.5,81.5,10.5,69.0,72.0,0.0,16.5,0.085,29.42,30.1,6.699999999999999,21.5,7.6,0,0,0,0,0,0,0,1,0,0,0
2.0,36,T011,41.944869,-87.832763,8,4,0,2007,6,26,1,91.5,71.5,81.5,10.5,69.0,72.0,0.0,16.5,0.085,29.42,30.1,6.699999999999999,21.5,7.6,0,0,0,0,0,0,0,1,0,0,0
6.0,72,T016,42.011601,-87.811506,8,2,0,2007,6,26,1,91.5,71.5,81.5,10.5,69.0,72.0,0.0,16.5,0.085,29.42,30.1,6.699999999999999,21.5,7.6,0,0,0,0,0,0,0,0,0,0,0
2.0,72,T016,42.011601,-87.811506,8,2,0,2007,6,26,1,91.5,71.5,81.5,10.5,69.0,72.0,0.0,16.5,0.085,29.42,30.1,6.699999999999999,21.5,7.6,0,0,0,0,0,0,0,0,0,0,0
2.0,38,T019,41.94983,-87.698457,9,1,0,2007,6,26,1,91.5,71.5,81.5,10.5,69.0,72.0,0.0,16.5,0.085,29.42,30.1,6.699999999999999,21.5,7.6,0,0,0,0,0,0,0,0,0,0,0
6.0,49,T025,41.979243,-87.750938,9,1,0,2007,6,26,1,91.5,71.5,81.5,10.5,69.0,72.0,0.0,16.5,0.085,29.42,30.1,6.699999999999999,21.5,7.6,0,0,0,0,0,0,0,0,0,0,0
6.0,58,T028,41.986921,-87.689778,9,1,0,2007,6,26,1,91.5,71.5,81.5,10.5,69.0,72.0,0.0,16.5,0.085,29.42,30.1,6.699999999999999,21.5,7.6,0,0,0,0,0,0,0,0,0,0,0
2.0,58,T028,41.986921,-87.689778,9,9,0,2007,6,26,1,91.5,71.5,81.5,10.5,69.0,72.0,0.0,16.5,0.085,29.42,30.1,6.699999999999999,21.5,7.6,0,0,0,0,0,0,0,0,0,0,0
